Major Category,Type,Minor Category,Problem Code,Count
GENERAL,NON EMERGENCY,FLOOR,BROKEN OR DEFECTIVE,77529
APPLIANCE,NON EMERGENCY,ELECTRIC/GAS RANGE,OVEN DOOR IS BROKEN,810
APPLIANCE,EMERGENCY,DISHWASHER,OTHER,61
PLUMBING,NON EMERGENCY,TOILET,CONTINUOUSLY RUNS,18567
HEAT/HOT WATER,EMERGENCY,APARTMENT ONLY,NO HOT WATER,71675
PAINT/PLASTER,HAZARDOUS,WALL,LARGE HOLE,14227
APPLIANCE,NON EMERGENCY,ELECTRIC/GAS RANGE,PILOT LIGHT OUT,16885
UNSANITARY CONDITION,EMERGENCY,MOLD,N/A,174981
SAFETY,EMERGENCY,FIRE ESCAPE,WINDOW BROKEN OR BLOCKED,8407
GENERAL,NON EMERGENCY,CERAMIC-TILE,MISSING FROM FLOOR IN PUBLIC HALLS-NON-TRIP-HAZARD,357
GENERAL,NON EMERGENCY,DOORS,"TO ROOM WITHIN APARTMENT, BROKEN, DEFECTIVE, MISSING",28817
GENERAL,EMERGENCY,COOKING GAS,SHUT-OFF,79599
NONCONST,NON EMERGENCY,SMOKE DETECTOR,SIGNAGE MISSING,1844
PLUMBING,EMERGENCY,TOILET,TANK CRACKED OR LEAKING,12975
GENERAL,NON EMERGENCY,LOCKS,"BUILDING ENTRANCE BROKEN, DEFECTIVE, MISSING",8076
FLOORING/STAIRS,EMERGENCY,FLOOR,SAGGING OR SLOPING,24358
PAINT/PLASTER,IMMEDIATE EMERGENCY,CEILING,COLLAPSING OR FALLING,142409
PLUMBING,EMERGENCY,BATHTUB/SHOWER,LEAKING INTO OTHER APARTMENT,9831
GENERAL,EMERGENCY,WINDOWS,GLASS PANE BROKEN / MISSING,45859
SAFETY,EMERGENCY,WINDOW GUARD BROKEN/MISSING,NO CHILD UNDER 11,3293
PLUMBING,IMMEDIATE EMERGENCY,STEAM PIPE/RISER,CRACKED OR BROKEN,5252
ELECTRIC,EMERGENCY,WIRING,"EXPOSED, NOT SPARKING",9361
PLUMBING,IMMEDIATE EMERGENCY,RADIATOR,HEAT UP IN SUMMER,2590
CONSTRUCTION,EMERGENCY,ROOF,"DOOR OR SCUTTLE HATCH PADLOCKED, NAILED OR INOPERABLE",94
APPLIANCE,HAZARDOUS,AIR-CONDITIONER,UNIT IS LEAKING WATER,50
GENERAL,HAZARDOUS,WINDOWS,ROTTED WOOD FRAME OR SASHES,2422
LINE OF TRAVEL,EMERGENCY,LINE OF TRAVEL,LINE OF TRAVEL,2
APPLIANCE,EMERGENCY,ELECTRIC/GAS RANGE,ELECTRIC OUTLET SPARKING,128
PLUMBING,EMERGENCY,BATHTUB/SHOWER,BROKEN OR MISSING,41378
PLUMBING,EMERGENCY,WATER-LEAKS,FROM CEILING /WALL DAMP OR WET CAUSE UNKNOWN,12246
GENERAL,NON EMERGENCY,DOORS,"TO ROOF, NOT SELF CLOSING",2405
GENERAL,EMERGENCY,WINDOW GUARDS,CHILD UNDER 11-MISSING/IMPROPERLY INSTALLED,10200
HEAT/HOT WATER,IMMEDIATE EMERGENCY,ENTIRE BUILDING,HEAT ON IN SUMMER,1632
PLUMBING,HAZARDOUS,RADIATOR,EMITTING ODORS WHEN HEAT IS ON,252
GENERAL,HAZARDOUS,MAILBOX,BROKEN OR MISSING,4388
GENERAL,EMERGENCY,CERAMIC-TILE,BROKEN / CUT HAZARD,19632
HEATING,EMERGENCY,RADIATOR,BANGING WHEN HEAT IS ON,363
CONSTRUCTION,NON EMERGENCY,ELEVATOR,GLASS IN DOOR BROKEN OR MISSING,348
APPLIANCE,IMMEDIATE EMERGENCY,ELECTRIC/GAS RANGE,GAS SHUT _OFF VALVE LEAKING,270
PLUMBING,EMERGENCY,RADIATOR,BANGING WHEN HEAT IS ON,897
GENERAL,EMERGENCY,FIRE-ESCAPE,BALCONY/ BASKET REMOVED,15
PLUMBING,NON EMERGENCY,WATER SUPPLY,NO COLD/HOT WATER SUPPLY TO ONE ROOM ONLY,12021
APPLIANCE,HAZARDOUS,ELECTRIC/GAS RANGE,FLEX HOSE IS BROKEN,6
PLUMBING,EMERGENCY,BASIN/SINK,LEAKING AT PIPE CONNECTION OR FAUCET,6371
APPLIANCE,NON EMERGENCY,REFRIGERATOR,SHELF BROKEN/LOOSE/MISSING,60
NONCONST,HAZARDOUS,RUBBISH,PUBLIC HALL- TO WHAT DEGREE ?,6606
PLUMBING,EMERGENCY,BATHTUB/SHOWER,CHIPPED OR RUSTED,25437
SAFETY,EMERGENCY,FIRE ESCAPE,BROKEN OR DEFECTIVE,1779
PLUMBING,NON EMERGENCY,WATER-LEAKS,FROM CEILING / WALL DAMP OR WET,105771
PLUMBING,HAZARDOUS,WATER SUPPLY,NO COLD/HOT WATER SUPPLY TO ONE ROOM ONLY,1936
DOOR/WINDOW,EMERGENCY,WINDOW PANE,GLASS BROKEN OR MISSING,19464
NONCONST,NON EMERGENCY,JANITOR/SUPER,DOES NOT LIVE WITHIN ONE BLOCK,3719
GENERAL,HAZARDOUS,STAIRS,DEFECTIVE,766
NONCONST,HAZARDOUS,VERMIN,FLEAS,1051
PAINT/PLASTER,EMERGENCY,CEILING,OTHER,4013
GENERAL,HAZARDOUS,DOORS,"COURTYARD, BROKEN OR  DEFECTIVE",303
APPLIANCE,EMERGENCY,ELECTRIC/GAS RANGE,OVEN NOT WORKING,107
GENERAL,EMERGENCY,VENTILATION SYSTEM,MECHANICAL NOT WORKING RESIDENTIAL BUILDING GARAGE,1062
HEAT/HOT WATER,EMERGENCY,APARTMENT ONLY,NO HEAT AND NO HOT WATER,90324
NONCONST,EMERGENCY,SMOKE DETECTOR,OTHER,284
APPLIANCE,NON EMERGENCY,ELECTRIC/GAS RANGE,CONTROL KNOB BROKEN OR MISSING,7558
HEAT/HOT WATER,EMERGENCY,ENTIRE BUILDING,NO HEAT,493063
PAINT/PLASTER,EMERGENCY,WALL,OTHER LEAD,1895
GENERAL,HAZARDOUS,CERAMIC-TILE,LOOSE FROM WALL AT SHOWER/ BATHROOM,7402
GENERAL,EMERGENCY,DOORS,"TO ROOF, MISSING",67
ELECTRIC,HAZARDOUS,LIGHTING,DIMS AND FLICKERS,2642
GENERAL,EMERGENCY,WINDOWS,WINDOW TO FIRE ESCAPE OBSTRUCTED ' GATES',271
APPLIANCE,EMERGENCY,ELECTRIC/GAS RANGE,NO OVEN PROVIDED,18
PLUMBING,EMERGENCY,WATER-LEAKS,FROM CEILING/ WALL CAUSE UNKNOWN  CASCADING,4599
GENERAL,HAZARDOUS,DOORS,BROKEN/DEFECTIVE/MISSING,1
PLUMBING,EMERGENCY,SHOWER-STALL,OTHER,1212
PAINT/PLASTER,EMERGENCY,CEILING,BULGING,6797
GENERAL,HAZARDOUS,VENTILATORS,"MECHANICAL NOT WORKING, KITCHEN OR BATHROOM",1110
GENERAL,IMMEDIATE EMERGENCY,FIRE-ESCAPE,REMOVED,631
CONSTRUCTION,IMMEDIATE EMERGENCY,COLLAPSING BUILDING,CORINICE HANGING IN DANGER OF FALLING  'DIRE,8
PLUMBING,NON EMERGENCY,BASIN/SINK,FAUCET BROKEN/MISSING/LEAKING,60476
PLUMBING,EMERGENCY,BATHTUB/SHOWER,LEAKING AT SUPPLY PIPE CONNECTION,5510
PLUMBING,IMMEDIATE EMERGENCY,RADIATOR,LOOSE OR DISCONNECTED,2105
GENERAL,EMERGENCY,TENANT HARASSMENT,HARASSMENT,3
PLUMBING,HAZARDOUS,BASIN/SINK,SINK IS CRACKED,226
ELECTRIC,HAZARDOUS,LIGHTING,NO LIGHTS AT YARD OR COURT,555
UNSANITARY CONDITION,NON EMERGENCY,GARBAGE/RECYCLING STORAGE,MISSING OR INADEQUATE CANS/LID,19156
PLUMBING,EMERGENCY,TOILET,CONTINUOUSLY RUNS,2073
NONCONST,NON EMERGENCY,RUBBISH,INADEQUATE AMOUNT OF GARBAGE CANS,5640
PAINT/PLASTER,IMMEDIATE EMERGENCY,WALL,COLLAPSING/FALLING,11719
NONCONST,HAZARDOUS,RUBBISH,OCCUPIED APARTMENT,112
GENERAL,EMERGENCY,WINDOWS,DEFECTIVE WINDOW GUARDS/ MISSING-CHILD LESS THAN 10 YRS.,1232
PLUMBING,NON EMERGENCY,BATHTUB/SHOWER,CHIPPED OR RUSTED,17375
ELECTRIC,IMMEDIATE EMERGENCY,POWER OUTAGE,ENTIRE BUILDING,9251
GENERAL,EMERGENCY,PORCH/BALCONY,MISSING BROKEN RAILING,5
APPLIANCE,NON EMERGENCY,REFRIGERATOR,BROKEN DOOR SEAL,33873
ELECTRIC,HAZARDOUS,BELL-BUZZER/INTERCOM,SYSTEM IS MISSING,1134
GENERAL,NON EMERGENCY,CERAMIC-TILE,LOOSE FROM WALL AT SHOWER/ BATHROOM,33210
ELECTRIC,IMMEDIATE EMERGENCY,ELECTRIC-SUPPLY,NO SUPPLY TO ENTIRE BUILDING   'DIRE,21125
UNSANITARY CONDITION,NON EMERGENCY,PESTS,BED BUGS,1923
CONSTRUCTION,EMERGENCY,ELEVATOR,INOPERABLE,6
UNSANITARY CONDITION,NON EMERGENCY,PESTS,FLIES,7773
NONCONST,HAZARDOUS,STORAGE,"EXCESSIVE IN CELLAR , ETC -REF TO NYFD",15
PAINT/PLASTER,EMERGENCY,WALL,OTHER,5448
GENERAL,IMMEDIATE EMERGENCY,FIRE-ESCAPE,GOOSE NECK/DROP LADDER DEFECTIVE/MISSING,891
DOOR/WINDOW,EMERGENCY,DOOR,LOCK BROKEN OR MISSING,36897
SAFETY,IMMEDIATE EMERGENCY,SPRINKLER,NO WATER,98
ELECTRIC,NON EMERGENCY,WIRING,FUSE BLOWS OUT,177
HEATING,EMERGENCY,RADIATOR,LOOSE OR DISCONNECTED,170
ELECTRIC,HAZARDOUS,BELL-BUZZER/INTERCOM,SYSTEM IS INOPERATIVE,9682
NONCONST,HAZARDOUS,VERMIN,ROACHES,28108
GENERAL,EMERGENCY,DOORS,BROKEN OR DEFECTIVE OR MISSING,18794
ELECTRIC,HAZARDOUS,LIGHTING,FIXTURE IS MISSING OR HANGING IN APARTMENT,2585
HEATING,EMERGENCY,RADIATOR,HEAT UP IN SUMMER,637
PAINT/PLASTER,EMERGENCY,WALL,COLLAPSING OR FALLING,5302
SAFETY,EMERGENCY,FIRE ESCAPE,BLOCKED,2875
NONCONST,EMERGENCY,SMOKE-FUMES,OTHER,2055
NONCONST,NON EMERGENCY,VERMIN,FLIES,8356
PLUMBING,EMERGENCY,BASIN/SINK,FAUCET IS BROKEN /MISSING OR LEAKING,7508
GENERAL,EMERGENCY,FIRE-ESCAPE,BROKEN OR DEFECTIVE,5223
GENERAL,HAZARDOUS,FLOOR,WOOD BROKEN OR DEFECTIVE,5926
OUTSIDE BUILDING,EMERGENCY,SKYLIGHT,BROKEN OR MISSING,471
OUTSIDE BUILDING,IMMEDIATE EMERGENCY,ROOF DOOR/HATCH,NAILED OR LOCKED SHUT,219
NONCONST,NON EMERGENCY,JANITOR/SUPER,NONE AVAILABLE,23336
PAINT/PLASTER,EMERGENCY,CEILING,OTHER LEAD,395
FLOORING/STAIRS,NON EMERGENCY,STAIRS,HANDRAIL MISSING FROM WALL,975
NONCONST,NON EMERGENCY,VERMIN,BEDBUGS,1141
APPLIANCE,NON EMERGENCY,REFRIGERATOR,UNIT IS DEFECTIVE,5045
SAFETY,IMMEDIATE EMERGENCY,FIRE ESCAPE,REMOVED,714
SAFETY,EMERGENCY,SMOKE DETECTOR,BROKEN OR MISSING,31317
CONSTRUCTION,EMERGENCY,RAIN LEADER,"OBSTRUCTED, DEFECTIVE OR MISSING",373
PAINT/PLASTER,NON EMERGENCY,DOOR/FRAME,PEELING OR FLAKING PAINT,12327
WATER LEAK,EMERGENCY,HEAVY FLOW,AT WALL OR CEILING,101963
GENERAL,NON EMERGENCY,WINDOWS,LOCK MISSING / BROKEN,20367
UNSANITARY CONDITION,NON EMERGENCY,PESTS,ROACHES,82749
FLOORING/STAIRS,IMMEDIATE EMERGENCY,STAIRS,CONSECUTIVE STEPS BROKEN/MISSING,940
GENERAL,NON EMERGENCY,STAIRS,HANDRAIL MISSING FROM WALL,3108
ELECTRIC,NON EMERGENCY,WIRING,FRAYED,53
CONSTRUCTION,EMERGENCY,ROOF,OTHER,820
PLUMBING,NON EMERGENCY,BATHTUB/SHOWER,NO WATER,1511
FLOORING/STAIRS,IMMEDIATE EMERGENCY,STAIRS,STAIRCASE SAGGING OR MISSING,548
APPLIANCE,EMERGENCY,ELECTRIC/GAS RANGE,FLEX HOSE IS BROKEN,1958
OUTSIDE BUILDING,EMERGENCY,SKYLIGHT,LEAKING,416
GENERAL,NON EMERGENCY,SIGNAGE MISSING,BUILDING STREET NUMBER,110
GENERAL,EMERGENCY,CABINET,FALLING OFF WALL,25343
NONCONST,EMERGENCY,SMOKE DETECTOR,DEFECTIVE / MISSING,35640
APPLIANCE,HAZARDOUS,REFRIGERATOR,EMITTING ODOR CAUSE UNKNOWN,93
ELECTRIC,NON EMERGENCY,BELL-BUZZER/INTERCOM,SYSTEM IS INOPERATIVE OR MISSING,30615
GENERAL,HAZARDOUS,DOORS,"BOILER ROOM, BROKEN OR DEFECTIVE OR MISSING",190
CONSTRUCTION,IMMEDIATE EMERGENCY,COLLAPSING BUILDING,"BRICKS LOOSE, FALLING AT FRONT, REAR AND SIDE OF BLDG 'DIRE'",82
DOOR/WINDOW,IMMEDIATE EMERGENCY,DOOR TO DUMBWAITER,BROKEN OR OPEN,504
SAFETY,IMMEDIATE EMERGENCY,SPRINKLER,SYSTEM BROKEN OR MISSING,1017
NONCONST,HAZARDOUS,SMOKE-FUMES,FROM FIRE PLACE IN APARTMENT,9
APPLIANCE,NON EMERGENCY,ELECTRIC/GAS RANGE,PILOT LIGHT INOPERATIVE / DEFECTIVE,2533
APPLIANCE,EMERGENCY,SPRINKER CERT,SPRINKER CERT,5418
HEATING,EMERGENCY,RADIATOR,AIR VALVE BROKEN / DEFECTIVE,308
HEATING,EMERGENCY,HEAT RELATED,NO HOT WATER,304021
APPLIANCE,IMMEDIATE EMERGENCY,ELECTRIC/GAS RANGE,EMITTING GAS FUMES    'DIRE',391
PLUMBING,EMERGENCY,WATER SUPPLY,NO HOT WATER,61151
APPLIANCE,EMERGENCY,AIR-CONDITIONER,OTHER,140
NONCONST,HAZARDOUS,RUBBISH,VACANT APARTMENT,59
APPLIANCE,NON EMERGENCY,ELECTRIC/GAS RANGE,OVEN DOOR WINDOW IS BROKEN,36
NONCONST,NON EMERGENCY,SIGNAGE,BOILER ROOM KEY SIGNAGE MISSING,184
GENERAL,EMERGENCY,FLOOR,SAGGING OR SLOPING,43652
HEATING,EMERGENCY,HEAT-PLANT,BOILER INOPERATIVE / MISSING,16640
PLUMBING,NON EMERGENCY,BASIN/SINK,BASIN MISSING,6774
GENERAL,IMMEDIATE EMERGENCY,FIRE-ESCAPE,ADJOINING BUILDING OR PARTY WALL BALCONY DEMOLISHED,214
CONSTRUCTION,NON EMERGENCY,ELEVATOR,CAR NOT LEVELING WITH FLOOR - REF TO DOB,1
CONSTRUCTION,HAZARDOUS,ELEVATOR,"MIRROR IN CAR, BROKEN OR MISSING",18
PLUMBING,NON EMERGENCY,WATER SUPPLY,LOW WATER PRESSURE,29004
NONCONST,NON EMERGENCY,ILLEGAL,FROM 1 FAMILY TO 2 FAMILY- REF TO DOB,32
GENERAL,HAZARDOUS,FIRE-ESCAPE,"DEBRIS, CLUTTERED",237
ELECTRIC,EMERGENCY,ELECTRIC-SUPPLY,NO SUPPLY CAUSE UNKNOWN,11819
ELECTRIC,EMERGENCY,WIRING,SMOKING/SPARKING,57
GENERAL,HAZARDOUS,DOORS,"TO ROOF, NOT SELF CLOSING",114
CONSTRUCTION,IMMEDIATE EMERGENCY,COLLAPSING BUILDING,BUILDING IN DANGER OF COLLAPSING  'DIRE,13
GENERAL,EMERGENCY,STAIRS,BANISTER BALUSTERS HANGING/MISSING/LOOSE,6550
GENERAL,IMMEDIATE EMERGENCY,FIRE-ESCAPE,COLLAPSED OR PULLING AWAY FROM WALL,412
APPLIANCE,NON EMERGENCY,ELECTRIC/GAS RANGE,OVEN DOOR MISSING OR BROKEN,14355
CONSTRUCTION,NON EMERGENCY,ELEVATOR,DIRTY AND UNSANITARY,3260
HEATING,EMERGENCY,RADIATOR,LEAKS AT SUPPLY CONNECTION,627
PLUMBING,IMMEDIATE EMERGENCY,RADIATOR,STEAM RISER IS CRACKED OR BROKEN,4423
PLUMBING,EMERGENCY,RADIATOR,LOOSE OR DISCONNECTED,3831
ELECTRIC,NON EMERGENCY,WIRING,OUTLETS SEALED OR DEFECTIVE,64711
PLUMBING,EMERGENCY,WATER SUPPLY,NO COLD WATER,27557
HEATING,IMMEDIATE EMERGENCY,HEAT-PLANT,BOILER SMOKING/ EMITTING FUMES,930
NONCONST,HAZARDOUS,RUBBISH,INADEQUATE AMOUNT OF GARBAGE CANS,1134
HEATING,EMERGENCY,RADIATOR,OTHER,542
PLUMBING,EMERGENCY,RADIATOR,LEAKS AT SUPPLY CONNECTION,21341
GENERAL,EMERGENCY,DOORS,"TO ROOF, MISSING / BROKEN",1194
CONSTRUCTION,EMERGENCY,ROOF,"DOOR OR SCUTTLE HATCH MISSING, BROKEN OR DEFECTIVE",3551
PLUMBING,EMERGENCY,BOILER,SMOKING OR FUMES,196
GENERAL,EMERGENCY,LOCKS,OTHER,1056
NONCONST,EMERGENCY,ILLEGAL,APARTMENT CREATED IN CELLAR/ BASEMENT/ ATTIC,7789
ELECTRIC,NON EMERGENCY,LIGHTING,NO LIGHTS AT FRONT OF BUILDING,9590
ELECTRIC,EMERGENCY,NO LIGHTING,ONE ROOM OR AREA,37848
PLUMBING,HAZARDOUS,SHOWER-STALL,BROKEN OR DEFECTIVE,1047
ELECTRIC,NON EMERGENCY,LIGHTING,MISSING COVER PLATE,25
ELECTRIC,EMERGENCY,BELL-BUZZER/INTERCOM,OTHER,403
PLUMBING,EMERGENCY,BATHTUB/SHOWER,DRAIN PIPE OBSTRUCTED,5405
NONCONST,EMERGENCY,ILLEGAL,FROM 1 OR 2 FAMILY TO 3 OR MORE FAMILIES,961
SAFETY,EMERGENCY,CARBON MONOXIDE DETECTOR,INITIAL IN-PLACE INSPECTION,1
HEATING,IMMEDIATE EMERGENCY,SPACE HEATER,CAUSING DIZZINESS/ NAUSEA WHEN USED,9
PAINT/PLASTER,NON EMERGENCY,WINDOW/FRAME,PEELING OR FLAKING PAINT,18158
CONSTRUCTION,EMERGENCY,VACANT APARTMENT,VACANT APARTMENT OPEN AND ACCESSIBLE,209
NONCONST,NON EMERGENCY,ODOR,FROM OTHER APARTMENT CAUSED BY CHEMICALS,401
NONCONST,HAZARDOUS,STORAGE,EXCESSIVE STORAGE,38
NONCONST,NON EMERGENCY,RUBBISH,ACCUMULATION CELLAR- LIGHT,167
GENERAL,NON EMERGENCY,WINDOWS,SASHES STUCK AND INOPERABLE,36040
OUTSIDE BUILDING,NON EMERGENCY,GUTTER/LEADER,BLOCKED OR MISSING,1014
ELECTRIC,EMERGENCY,ELECTRIC-SUPPLY,NO SUPPLY TO APARTMENT,43553
HEATING,EMERGENCY,RADIATOR,SHUT-OFF VALVE IS BROKEN,80
PLUMBING,EMERGENCY,WATER-LEAKS,LEAKY ROOF,85983
PLUMBING,EMERGENCY,SHOWER-STALL,PORCELAIN IS CHIPPING / METAL IS ERODING,710
PAINT/PLASTER,NON EMERGENCY,WALL,CRACKED,65444
PLUMBING,HAZARDOUS,SHOWER-STALL,FAUCET IS BROKEN OR LEAKING,1191
UNSANITARY CONDITION,EMERGENCY,SEWAGE,BROKEN/BLOCKED SEWAGE PIPE,4555
APPLIANCE,NON EMERGENCY,DISHWASHER,UNIT IS DEFECTIVE,107
PLUMBING,EMERGENCY,BASIN/SINK,PIPE LEAKING,54849
NONCONST,EMERGENCY,JANITOR/SUPER,OTHER,1086
APPLIANCE,EMERGENCY,MICROWAVE,BROKEN OR MISSING,61
NONCONST,NON EMERGENCY,VERMIN,MICE,143502
GENERAL,NON EMERGENCY,SIGNAGE MISSING,ESSENTIAL SERVICE POSTING,3870
PLUMBING,EMERGENCY,SHOWER-STALL,PORCELAIN IS CHIPPING,52
APPLIANCE,NON EMERGENCY,ELECTRIC/GAS RANGE,NO STOVE KNOB COVERS,260
GENERAL,NON EMERGENCY,FLOOR,"HOLE, NON-WALKING AREA",30481
PLUMBING,NON EMERGENCY,SHOWER-STALL,"FAUCET IS BROKEN, LEAKING OR MISSING",7944
GENERAL,NON EMERGENCY,CABINET,DAMAGED OR MISSING,117047
APPLIANCE,IMMEDIATE EMERGENCY,ELECTRIC/GAS RANGE,FLEX HOSE IS BROKEN,1049
PLUMBING,HAZARDOUS,BASIN/SINK,CONTINUOUS LEAKING,5100
CONSTRUCTION,EMERGENCY,ELEVATOR,OTHER,483
CONSTRUCTION,IMMEDIATE EMERGENCY,COLLAPSING BUILDING,CRACKS IN EXTERIOR WALLS 'DIRE',5
GENERAL,EMERGENCY,WINDOWS,LOOSE/ BROKEN FRAME OR SASH,122094
GENERAL,HAZARDOUS,WINDOWS,BROKEN FRAME,8967
CONSTRUCTION,NON EMERGENCY,ELEVATOR,LIGHT FIXTURE IN CAR INOPERATIVE,868
GENERAL,EMERGENCY,WINDOW GUARDS,TENANT REQ/NO CHILD UNDER 11-MISSING/IMPROPERLY INSTALLED,1577
PLUMBING,EMERGENCY,RADIATOR,AIR VALVE MISSING OR STEAM LEAK,1826
GENERAL,NON EMERGENCY,SIGNAGE MISSING,FLOOR NUMBER,108
NONCONST,NON EMERGENCY,STORAGE,"GASOLINE, PROPANE, KEROSENE-REF TO NYFD",7
PAINT/PLASTER,HAZARDOUS,WALL,PAINT CHIPPING OR FALLING,19854
PLUMBING,EMERGENCY,BASIN/SINK,MISSING,1217
CONSTRUCTION,EMERGENCY,ELEVATOR,GLASS IN DOOR BROKEN OR MISSING,242
GENERAL,EMERGENCY,STAIRS,INTERMEDIATE LANDING-PLATFORM BROKEN/MISSING,110
APPLIANCE,EMERGENCY,ELECTRIC/GAS RANGE,OVEN DOOR MISSING OR BROKEN,10818
GENERAL,EMERGENCY,WINDOWS,GLASS PANE BROKEN,8270
ELECTRIC,EMERGENCY,WIRING,EXPOSED AT CEILING,2968
GENERAL,NON EMERGENCY,SIGNAGE MISSING,BOILER ROOM KEY,174
NONCONST,HAZARDOUS,VIBRATIONS,FROM STORE,11
HEATING,EMERGENCY,HEAT RELATED,NO HEAT& HOT WATER,771288
GENERAL,NON EMERGENCY,DOORS,"APARTMENT ENTRANCE, PEEPHOLE BROKEN,BLOCKED,DEFECTIVE",8072
HEATING,EMERGENCY,HEAT-PLANT,BOILER IS LEAKING,215
APPLIANCE,EMERGENCY,ELECTRIC/GAS RANGE,GAS LEAK,43
APPLIANCE,EMERGENCY,AIR-CONDITIONER,UNIT LOOSE IN WINDOW FRAME,342
NONCONST,NON EMERGENCY,VERMIN,ROACHES,111454
NONCONST,NON EMERGENCY,VERMIN,TERMITES,2215
CONSTRUCTION,IMMEDIATE EMERGENCY,COLLAPSING BUILDING,STOOP AT FRONT SAGGING 'DIRE',7
FLOORING/STAIRS,EMERGENCY,STAIRS,STEP LOOSE/BROKEN/CRACKED/MISSING,4206
APPLIANCE,NON EMERGENCY,REFRIGERATOR,FREEZER MAKING LOUD NOISE,1
SAFETY,EMERGENCY,CARBON MONOXIDE DETECTOR,BROKEN OR MISSING,28559
GENERAL,NON EMERGENCY,WINDOWS,STORM WINDOW DEFECTIVE,1668
GENERAL,NON EMERGENCY,VENTILATION SYSTEM,BROKEN OR MISSING,11790
PAINT/PLASTER,EMERGENCY,CEILING,HOLE OR CRACKED,72104
PLUMBING,IMMEDIATE EMERGENCY,WATER SUPPLY,SCOLDING HOT WATER   'DIRE',1933
GENERAL,EMERGENCY,FIRE-ESCAPE,OTHER,1126
PAINT/PLASTER,NON EMERGENCY,CABINET,PEELING OR FLAKING PAINT,4264
GENERAL,NON EMERGENCY,SIGNAGE MISSING,JANITOR/SUPER EMERGENCY CONTACT,667
PLUMBING,EMERGENCY,TOILET,BOWL REMOVED AND NOT REPLACED,339
GENERAL,EMERGENCY,WINDOWS,SASHES STUCK AND UNOPENABLE,2946
ELECTRIC,IMMEDIATE EMERGENCY,POWER OUTAGE,HALLS AND STAIRS ONLY,2982
GENERAL,EMERGENCY,VENTILATORS,OTHER,616
GENERAL,EMERGENCY,CERAMIC-TILE,MISSING FROM FLOOR - PUBLIC HALLS - TRIP HAZARD,1300
CONSTRUCTION,NON EMERGENCY,RAIN LEADER,PULLING AWAY,74
APPLIANCE,NON EMERGENCY,ELECTRIC/GAS RANGE,OVEN DOOR IS MISSING,59
CONSTRUCTION,NON EMERGENCY,PAVEMENT,BROKER OR CRACKED,1124
PLUMBING,IMMEDIATE EMERGENCY,WATER SUPPLY,NO WATER SUPPLY TO SPRINKLER SYSTEM ' DIRE',155
ELECTRIC,NON EMERGENCY,WIRING,ILLEGAL TAPS TO WIRING,690
ELECTRIC,HAZARDOUS,ELECTRIC-SUPPLY,NO SUPPLY TO SOME ROOMS,4075
GENERAL,NON EMERGENCY,CERAMIC-TILE,MISSING FROM FLOOR IN PUBLIC HALLS,1170
CONSTRUCTION,IMMEDIATE EMERGENCY,COLLAPSING BUILDING,PARAPET WALLS FALLING 'DIRE',5
PLUMBING,EMERGENCY,RADIATOR,MISSING OR REMOVED,3631
ELECTRIC,IMMEDIATE EMERGENCY,LIGHTING,NO LIGHTS/ELECTRIC ENTIRE PUBLIC HALLS     'DIRE,2914
PAINT/PLASTER,HAZARDOUS,WALL,PAINT DIRTY AND UNSANITARY,15574
FLOORING/STAIRS,EMERGENCY,STAIRS,LANDING PLATFORM BROKEN,309
GENERAL,HAZARDOUS,LOCKS,"TO MAILBOX BROKEN, DEFECTIVE, MISSING",215
ELECTRIC,EMERGENCY,ELECTRIC-SUPPLY,NO SUPPLY TO BOILER ROOM,13
NONCONST,EMERGENCY,SMOKE-FUMES,FROM INCINERATOR,8
PLUMBING,HAZARDOUS,SHOWER-STALL,LEAKING,590
CONSTRUCTION,NON EMERGENCY,ELEVATOR,"MIRROR IN CAR, BROKEN OR MISSING",543
GENERAL,HAZARDOUS,DOORS,"DOOR FRAME, BROKEN OR DEFECTIVE",3398
GENERAL,EMERGENCY,COOKING GAS,SHUT OFF TO APARTMENT,5054
GENERAL,HAZARDOUS,DOORS,"VESTIBULE ENTRANCE, BROKEN,DEFECTIVE, MISSING",2423
FLOORING/STAIRS,EMERGENCY,STAIRS,BANISTER HANGING/MISSING/LOOSE,1996
PLUMBING,EMERGENCY,RADIATOR,AIR VALVE BROKEN OR MISSING,23130
APPLIANCE,NON EMERGENCY,ELECTRIC/GAS RANGE,NO GAS OR ELECTRICITY,22925
PLUMBING,IMMEDIATE EMERGENCY,STEAM PIPE/RISER,LEAKING,4285
NONCONST,HAZARDOUS,ILLEGAL,APARTMENT USED COMMERCIALLY,161
FLOORING/STAIRS,NON EMERGENCY,FLOOR,BROKEN OR DEFECTIVE,65277
FLOORING/STAIRS,EMERGENCY,FLOOR,HOLE IN WALKING AREA,13742
ELECTRIC,EMERGENCY,WIRING,ILLEGAL,20612
CONSTRUCTION,IMMEDIATE EMERGENCY,ELEVATOR,DOOR MISSING,3
CONSTRUCTION,NON EMERGENCY,ELEVATOR,CAR DEFECTIVE OR INOPERATIVE - REF TO DOB,39
GENERAL,EMERGENCY,FLOOR,"HOLE, WALKING AREA",33452
FLOORING/STAIRS,EMERGENCY,FLOOR,TILE BROKEN OR MISSING,985
DOOR/WINDOW,NON EMERGENCY,WINDOW FRAME,LOCK BROKEN OR MISSING,12264
